,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
0,To be done up,2,143  m² square meters,Installed,3,1,No,530  m²  square meters,390  m²  square meters,"€ 199,000  199000 €",,,
1,To be done up,4,213  m² square meters,Installed,3,1,,2108  m²  square meters,,"€ 385,000  385000 €",,,
2,Good,4,140  m² square meters,Installed,3,1,,1461  m²  square meters,,"€ 313,500  313500 €",,,
3,To be done up,3,171  m² square meters,Semi equipped,4,1,,184  m²  square meters,89  m²  square meters,"€ 264,000  264000 €",No,,
4,To be done up,2,100  m² square meters,,2,1,,146  m²  square meters,70  m²  square meters,"€ 169,000  169000 €",,urbain,
5,To renovate,,167  m² square meters,Semi equipped,4,,,289  m²  square meters,,"€ 219,000  219000 €",,,
6,As new,3,160  m² square meters,Installed,5,2,No,2000  m²  square meters,1500  m²  square meters,"€ 435,000  435000 €",No,Grand Liège,
7,As new,4,225  m² square meters,Hyper equipped,5,1,,1585  m²  square meters,1  m²  square meter,"€ 649,000  649000 €",Yes,,
8,As new,2,160  m² square meters,Semi equipped,4,1,,124  m²  square meters,,"€ 349,000  349000 €",,Centre,
9,As new,4,80  m² square meters,Semi equipped,2,,,431  m²  square meters,,"€ 169,500  169500 €",,,
10,To be done up,2,140  m² square meters,USA installed,3,3,No,35  m²  square meters,,"€ 530,000  530000 €",,,
11,To be done up,4,185  m² square meters,Installed,2,1,,827  m²  square meters,,"€ 249,000  249000 €",,,
12,As new,2,150  m² square meters,,3,1,No,500  m²  square meters,500  m²  square meters,"€ 249,000  249000 €",No,,
13,To be done up,4,182  m² square meters,Not installed,3,1,,3535  m²  square meters,,"Make an offer starting from  € 289,000  Make an offer starting from  289000 €",,,
14,To be done up,4,222  m² square meters,Installed,3,2,No,909  m²  square meters,,"Make an offer starting from  € 250,000  Make an offer starting from  250000 €",No,,Yes
15,Good,,536  m² square meters,Installed,8,,No,940  m²  square meters,174  m²  square meters,"€ 749,000  749000 €",,,
16,To be done up,4,171  m² square meters,,2,1,,640  m²  square meters,,"€ 325,000  325000 €",No,,
17,To renovate,2,114  m² square meters,,3,3,,,,"€ 200,000  200000 €",,,
18,To renovate,,125  m² square meters,Semi equipped,2,,No,787  m²  square meters,,"€ 190,000  190000 €",,,Yes
19,Good,2,90  m² square meters,Installed,2,1,,,,"€ 295,000  295000 €",,,
20,,2,190  m² square meters,,4,2,No,609  m²  square meters,,"€ 190,000  190000 €",No,,
21,To be done up,3,203  m² square meters,Semi equipped,3,,No,733  m²  square meters,,"€ 315,000  315000 €",,,Yes
22,Good,2,143  m² square meters,Installed,3,2,,190  m²  square meters,,"€ 299,000  299000 €",,,
23,Good,3,75  m² square meters,Semi equipped,2,,,263  m²  square meters,,"€ 150,000  150000 €",,,
24,Good,3,205  m² square meters,Installed,5,3,No,307  m²  square meters,160  m²  square meters,"€ 279,500  279500 €",No,Liège,
25,As new,4,130  m² square meters,Hyper equipped,2,1,,2041  m²  square meters,1700  m²  square meters,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",,,
26,Good,2,495  m² square meters,USA semi equipped,9,5,No,305  m²  square meters,147  m²  square meters,"€ 1,450,000  1450000 €",No,Les Woluwes,
27,Just renovated,3,273  m² square meters,Installed,4,1,,273  m²  square meters,160  m²  square meters,"€ 235,000  235000 €",No,,
28,To be done up,2,438  m² square meters,,11,6,,411  m²  square meters,,"€ 748,000  748000 €",,,Yes
29,Good,4,211  m² square meters,,4,3,,70  m²  square meters,,"€ 525,000  525000 €",,,Yes
30,As new,2,440  m² square meters,Hyper equipped,13,10,Yes,250  m²  square meters,,"€ 1,090,000  1090000 €",,,
31,Just renovated,2,130  m² square meters,Not installed,3,1,No,180  m²  square meters,100  m²  square meters,"€ 189,900  189900 €",No,Liège,
32,Just renovated,2,150  m² square meters,Installed,4,1,No,222  m²  square meters,150  m²  square meters,"€ 820,000  820000 €",No,,
33,To be done up,,130  m² square meters,Semi equipped,4,1,,60  m²  square meters,,"€ 220,000  220000 €",,,
34,To be done up,3,121  m² square meters,Semi equipped,4,1,,228  m²  square meters,170  m²  square meters,"€ 169,000  169000 €",,,
35,To renovate,3,200  m² square meters,Not installed,3,,,2935  m²  square meters,,"€ 349,000  349000 €",,,
36,To be done up,4,300  m² square meters,Installed,5,1,,1587  m²  square meters,1300  m²  square meters,"€ 219,900  219900 €",,,Yes
37,Good,2,290  m² square meters,Hyper equipped,4,3,No,230  m²  square meters,,"€ 1,190,000  1190000 €",No,,
38,To renovate,,277  m² square meters,Semi equipped,3,1,,1922  m²  square meters,,"€ 650,000  650000 €",,,
39,Good,4,395  m² square meters,Installed,10,10,,4827  m²  square meters,,"€ 1,475,000  1475000 €",,,
40,As new,4,270  m² square meters,USA hyper equipped,3,2,,1340  m²  square meters,1000  m²  square meters,"€ 925,000  925000 €",,,
41,,,459  m² square meters,,4,2,No,1967  m²  square meters,,"€ 775,000  775000 €",No,,Yes
42,To be done up,3,158  m² square meters,,3,1,No,249  m²  square meters,,"€ 240,000  240000 €",No,,
43,To be done up,,174  m² square meters,Semi equipped,3,1,,1091  m²  square meters,,"€ 299,000  299000 €",No,,
44,As new,,186  m² square meters,Hyper equipped,3,,No,291  m²  square meters,229  m²  square meters,"€ 353,050  353050 €",,,
