,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Terrace,Swimming pool,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Garden surface
0,Good,2,232,Installed,4,1,0.0,89,1.0,0.0,"€ 595,000  595000 €",house,mixed use building,for sale,None,None
1,To be done up,2,200,Semi equipped,7,3,0.0,65,None,0.0,"Make an offer starting from  € 599,000  Make an offer starting from  599000 €",house,house,for sale,Bruxelles,None
2,As new,4,130,Hyper equipped,2,1,None,2041,None,None,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",house,house,for sale,None,1700
3,Good,2,277,Installed,5,1,None,310,None,0.0,"€ 790,000  790000 €",house,house,for sale,None,190
4,As new,4,140,Installed,4,1,0.0,1341,None,1.0,"Make an offer starting from  € 265,000  Make an offer starting from  265000 €",house,house,for sale,None,850
6,Good,4,220,Installed,5,2,None,729,1.0,None,"€ 585,000  585000 €",house,villa,for sale,None,None
7,Good,2,373,Installed,6,6,0.0,170,1.0,0.0,"€ 1,150,000  1150000 €",house,apartment block,for sale,None,55
8,To be done up,2,130,Not installed,3,1,None,438,None,None,"Make an offer starting from  € 215,000  Make an offer starting from  215000 €",house,house,for sale,None,438
9,Good,3,156,Installed,2,1,None,202,None,None,"€ 279,000  279000 €",house,house,for sale,None,None
11,Good,4,107,Semi equipped,2,None,None,479,None,None,"Make an offer starting from  € 279,000  Make an offer starting from  279000 €",house,bungalow,for sale,None,230
12,Good,3,178,Installed,3,1,0.0,197,None,1.0,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",house,mixed use building,for sale,Liège environs,95
13,Good,4,311,Installed,4,2,0.0,1320,None,0.0,"€ 499,000  499000 €",house,villa,for sale,None,730
14,To be done up,2,117,Installed,3,1,0.0,240,None,0.0,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",house,house,for sale,Liège environs,160
16,Good,2,172,Installed,2,1,None,189,None,0.0,"€ 325,600  325600 €",house,house,for sale,None,None
17,Good,3,184,Hyper equipped,4,1,None,300,None,1.0,"€ 495,000  495000 €",house,house,for sale,None,110
18,Good,4,262,Installed,4,None,None,739,None,None,"€ 299,000  299000 €",house,house,for sale,None,547
20,As new,3,160,Installed,5,2,0.0,2000,None,0.0,"€ 435,000  435000 €",house,house,for sale,Grand Liège,1500
21,As new,3,165,USA hyper equipped,4,1,0.0,196,None,0.0,"€ 460,000  460000 €",house,house,for sale,Oost-Vlaanderen,110
23,To be done up,3,115,Semi equipped,3,2,0.0,238,None,0.0,"€ 375,000  375000 €",house,house,for sale,Vlaams-Brabant Noorden,125
24,To be done up,3,304,Installed,4,3,None,1640,None,None,"€ 572,000  572000 €",house,house,for sale,None,1200
25,Good,4,180,Semi equipped,3,3,None,270,None,None,"€ 235,000  235000 €",house,apartment block,for sale,None,50
26,Good,4,309,Hyper equipped,5,1,None,780,1.0,0.0,"€ 639,000  639000 €",house,villa,for sale,None,None
27,Good,2,167,Installed,4,2,0.0,178,None,0.0,"€ 525,000  525000 €",house,house,for sale,Pagodes,70
28,Just renovated,3,61,Installed,2,1,None,60,None,None,"€ 169,000  169000 €",house,mixed use building,for sale,None,None
29,Good,2,123,USA installed,3,1,None,253,None,None,"Make an offer starting from  € 475,000  Make an offer starting from  475000 €",house,house,for sale,Brabant Wallon,195
30,Good,4,252,Hyper equipped,4,2,None,705,1.0,None,"€ 679,000  679000 €",house,villa,for sale,None,None
